Strain,source,data,E_lm,B0_lm,E_ss,B0_ss,B0,E
K_Adamberg_Streptococcus_salivarius_growth,meta,,-0.8931116127270551,-11.029546692382773,1.0148181313050164,1.147509886376905e-5,-0.3228301487656315,1.0148181313050164
K_Adamberg_Lactococcus_lactis_growth,meta,,-0.7581096792893243,-10.325519080024327,0.6496974919510217,4.147429411766074e-5,0.6162023848771288,0.6496974919510217
K_Adamberg_Lactobacillus_acidophilus_growth,meta,,-0.3778003109192214,-10.189312291459572,0.5054008359299201,2.521201199679832e-5,0.252432026055207,0.5054008359299201
K_Adamberg_Lactobacillus_paracasei_growth,meta,,-0.8618932211588081,-11.438828416223226,0.9471658521496532,1.0961743236769825e-5,-0.3562785665697579,0.9471658521496532
Bowman_1998_C_demingiae,meta,,-0.726889721812957,-9.225732573912486,0.3643786909592785,6.46e-5,0.9400604548324136,0.3643786909592785
Bowman_1998_C_psychrerythraea,meta,,-0.42893895678548793,-9.5799180478907,0.3599435133514356,6.51e-5,0.9456952140526538,0.3599435133514356
Bowman_1998_C_psychrotropica,meta,,-0.4701428153155044,-9.288559672887143,0.4639628618639475,9.40816352260744e-5,1.2148128526438022,0.4639628618639475
 Bowman_Psychroflexus_torquis,meta,,-0.5257525969845237,-10.965538864965842,0.38546906226548894,1.5e-5,-0.12706354334182357,0.38546906226548894
Choma_B_cereus,meta,,-0.9172808484784479,-9.946197149386789,0.9626212264376128,4.9798560401105186e-5,0.74987917302117435,0.9626212264376128
corroler_1996_E_faecalis,meta,,-1.1909235172841093,-10.668967550123092,0.8318197511585778,3.4168619538505244e-5,0.47459330532539024,0.8318197511585778
Duffaud_1998_T_celer,meta,,-0.9437344030464946,-18.443058148521974,0.7466431419294292,8.66533418930781e-7,-2.210867380075338,0.7466431419294292
Ferreiria_1997_AG3a,meta,,-0.6876426513353864,-11.260197854392821,0.7086040805219945,1.231161090895836e-5,-0.2714068255039614,0.7086040805219945
Ferreiria_1997_Alt1,meta,,-0.4684002736748279,-10.541914718152528,0.4737618822977403,2.6155256030421036e-5,0.27927493647737073,0.4737618822977403
Flores_2008_Sulfurihydrogenibium_kristjanssoni,meta,,-0.654924448044085,-13.344526549412311,0.5397335136074115,3.096162459853838e-6,-1.2802220924380778,0.5397335136074115
Franzmann_1997_M_frigidum,meta,,-1.2882564286280844,-12.243521498950503,0.700761387460761,2.72e-6,-1.374886940844042,0.700761387460761
Hallberg_1994_T_Caldus,meta,,0,0,0.46474556726536415,1.1912224593815548e-5,-0.2955077005293704,0.46474556726536415
Harris_1984_FR4,meta,,-0.7031093444019302,-12.128455589582533,0.3420440079037252,2.6059531900241167e-5,0.2765953265382524,0.3420440079037252
Huber_1982_M_thermolithotrophicus,meta,,-0.6534456032575722,-11.98561992294724,0.5494500346743679,1.071975585390304e-5,-0.3725927234105678,0.5494500346743679
Kimble_1995_H_mobilis,meta,,0,0,1.3436255039798186,1.1068132973460523e-6,-2.032005657728944,1.3436255039798186
Kimble_1995_H_modesticaldum,meta,,-1.7273478746114899,-16.666989219683206,0.6306054039981384,3.639658482103766e-6,-1.1620284342801017,0.6306054039981384
Kotelnikova_1998_M_subterraneum,meta,,-0.34460099304157543,-11.111999187548355,0.427504125904908,1.4847726550554539e-5,-0.13452047013795132,0.427504125904908
lee_2001_PHS1,meta,,-0.8663664092152761,-11.07338197423107,0.5468432057202001,3.1515435967518704e-5,0.41552059609945824,0.5468432057202001
Li1994_m_C_themoalcaliphilum,meta,,-1.2975016923950458,-12.515957562642438,0.796687769851038,2.0732974054728854e-5,0.1094862578793254,0.796687769851038
Mannisto_2002_K104,meta,,-0.38098250297633185,-12.724868570326448,0.4505745707650648,2.8994843635776062e-6,-1.3281864891202606,0.4505745707650648
Mannisto_2002_K112,meta,,-0.7857956151095138,-13.025611739903479,0.6787795382015587,2.4134155545781067e-6,-1.462285452196449,0.6787795382015587
Mannisto_2002_K13,meta,,-0.7510203386196977,-13.415626201317055,0.6502831075754139,1.627228718542508e-6,-1.7503506520178287,0.6502831075754139
Mannisto_2002_k44,meta,,-0.910598316722296,-13.571457126963617,1.1656162939545038,1.58570140823001e-6,-1.7692436070662467,1.1656162939545038
Mannisto_2002_K6,meta,,-0.7155077663134313,-13.803092847826367,0.6658149925538989,1.1321712101071286e-6,-2.015450848971964,0.6658149925538989
Mannisto_2002_K8,meta,,-1.0601031040473492,-13.479238792780201,1.1940446760280012,1.7293905633858488e-6,-1.7058502452068258,1.1940446760280012
Mannisto_2002_MT1,meta,,-0.3727699961763929,-13.209785823913498,0.40413927749385176,1.8624038747675468e-6,-1.6516968781064365,0.40413927749385176
Melamud_et_al_2001_S_sibiricus,meta,,-0.6131397897131032,-11.945122854692261,0.6709084848536947,5.172842951214479e-6,-0.905119761135944,0.6709084848536947
Mickucki_2003,meta,,-1.013530062104207,-13.684827123975722,0.8516995821131976,1.6788131122727686e-6,-1.7275425883262123,0.8516995821131976
Mohr_1980_B_megaterium,meta,,-0.686200092417966,-9.860169582177518,0.9028093878353798,3.910523395189874e-5,0.5732171076271798,0.9028093878353798
Mohr_1980_B_subtilis,meta,,-0.9700004514156206,-10.607434543290065,0.8087855861045821,3.683568077750973e-5,0.529521571754149,0.8087855861045821
Mohr_1980_E_coli,meta,,-0.7050351746209267,-9.924391441035956,0.4426788561995569,8.877163177292688e-5,1.1723550623252406,0.4426788561995569
Mohr_1980_p_acruginosa,meta,,-0.49525174325854837,-9.662771164477277,0.3939596443990852,8.383578616997007e-5,1.1305466464514302,0.3939596443990852
Mohr_1980_P_fluorescens,meta,,-0.7395993830972685,-10.144729668180004,0.6539091549304662,4.6906325103913016e-5,0.7061513426627597,0.6539091549304662
Mohr_1980_S_marcescens,meta,,-0.7347235487880704,-9.694758309885588,0.5851156308168382,8.372018826847537e-5,1.1295382454124128,0.5851156308168382
Mohr_1980_v_marinus_ATCC15382,meta,,-1.255163675609854,-10.21727348040215,1.1284748298797525,4.087316219143352e-5,0.6055322354027092,1.1284748298797525
Nichols_1999_Gelidibacter_sp,meta,,-0.41468189176434894,-10.636848825140904,0.6335466870526718,2.495190499699327e-5,0.24485309991756332,0.6335466870526718
Nichols_1999_G_punicea,meta,,-0.8528666663175043,-11.320575781881239,1.1126311142081347,1.3516685491893708e-5,-0.20316089135475685,1.1126311142081347
Nichols_2000_2-5%_NaCl.JPG,meta,,-0.651706515038323,-9.572429475837225,0.6655909136206951,7.32937447890738e-5,1.032335001767705,0.6655909136206951
Nichols_2000_4%_NaCl.JPG,meta,,-0.48717723730784546,-9.989746694409327,0.4814928907933057,4.667428317424278e-5,0.7025270381659356,0.4814928907933057
Nichols_2002_L_monocytogenes,meta,,-0.8678748232999096,-10.444183980343022,0.7055101647733105,4.148797185576127e-5,0.6164433625828327,0.7055101647733105
Piette_2011_P_haloplanktis,meta,,-0.4803425170604459,-9.388520318108917,0.5067922092953446,8.520547261221836e-5,1.142390175419834,0.5067922092953446
Saiko_1996_R_obamensis,meta,,-0.40761830710817526,-11.99057732131043,0.34848514415355053,9.223555319190822e-6,-0.48245599104872416,0.34848514415355053
Shcherbakova_2009_P_muriicola,meta,,-2.3957375592055907,-26.535432817297423,1.2444624894281304,1.9002384281384337e-5,0.045786907093129325,1.2444624894281304
Stahl_1977_ft200,meta,,-0.9654780206467611,-11.38008680477204,0.6789262790240119,2.991433815043983e-5,0.377415724580947,0.6789262790240119
Stahl_1977_FtR32,meta,,-0.8296135470021675,-10.947358720784498,0.580488429519299,3.874103678013987e-5,0.5663788555138289,0.580488429519299
Stahl_1977_m100,meta,,-1.1076984624932888,-10.822803547109654,0.8299927405370188,3.18938008746562e-5,0.4242424068862029,0.8299927405370188
Takai_2005_D01,meta,,0,0,0.44866595226173334,9.517591122585337e-5,1.2232641170931569,0.44866595226173334
Nevot_P_antarctica,meta,,-0.5994457567939955,-9.911529367182405,0.5320620620092573,4.962154564783043e-5,0.7472767440551888,0.5320620620092573
I-2,meta,,-1.3351008856027924,-12.634121715383895,1.2417018621419906,4.002348031899607e-6,-1.0926064190707048,1.2417018621419906
III.1,meta,,-1.2447394160016654,-11.335108873646144,0.8786974064543333,2.1489404281892906e-5,0.13567507214719993,0.8786974064543333
III.2,meta,,-1.020070335316039,-11.396524941830208,0.9228801544585574,1.3456675312626652e-5,-0.20641276574781148,0.9228801544585574
IV.1,meta,,-1.2731006672587502,-11.33428361018475,1.0077573371883755,1.6267905798683765e-5,-0.06776151058166255,1.0077573371883755
IV.3,meta,,-1.1575805902658138,-11.648251715635494,1.133882244975998,1.29489477950325e-5,-0.2345208337271625,1.133882244975998
IV.4,meta,,-0.8047951293481855,-10.997914483964575,0.7417717876926976,1.9047709162619465e-5,0.04752800957963144,0.7417717876926976
IV.5,meta,,-0.9681889942226255,-11.318083208026918,0.9647486735325113,1.2367643452103472e-5,-0.26808824597770214,0.9647486735325113
VII,meta,,-1.2833890234909189,-11.974902219023289,0.8594392476277849,1.2453953610855609e-5,-0.26300574901596735,0.8594392476277849
VIII-2,meta,,-1.2155200853029624,-12.778476138337115,1.5154906108458197,2.0763496407505495e-6,-1.572224584797062,1.5154906108458197
VIII-3,meta,,-1.5325996121570784,-12.892046170085814,1.3773881974473883,3.523911123239156e-6,-1.185647493044883,1.3773881974473883
IX,meta,,-0.9798410480452543,-11.851404634985126,0.8683900451472711,8.078275555323354e-6,-0.5793502903245532,0.8683900451472711
X.1,meta,,-0.8789045697357332,-11.033258592868473,0.937405939328881,1.4520074695394252e-5,-0.15082853397269474,0.937405939328881
XI,meta,,-1.075910362919354,-10.923397926206029,1.029656627902816,1.9559154832820546e-5,0.06689238846865549,1.029656627902816
XIII,meta,,-0.9083382431012836,-11.862355514627515,0.9373269981489433,6.852078565235936e-6,-0.6996633083777816,0.9373269981489433
XVI-1.1,meta,,-1.2046034212044412,-12.206659310000667,1.0645611502212016,6.578430628768776e-6,-0.7294486778324023,1.0645611502212016
XVI-2,meta,,-1.4087701508347092,-12.045008828008312,1.275733089050716,7.055774309446239e-6,-0.6782543219455489,1.275733089050716
XVI-3,meta,,-1.2138039920412786,-12.246876448860071,1.8156164533057884,5.441681334684528e-6,-0.8680920546315329,1.8156164533057884
XVIII.1,meta,,-1.2258787623628145,-11.927703961069149,0.899716435849002,1.144985615353055e-5,-0.32443957415631886,0.899716435849002
XVIII.2,meta,,-1.1056471034812672,-11.740134284347246,1.0483227891566864,9.067547821642948e-6,-0.4949229143187398,1.0483227891566864
XXIV,meta,,-0.835838530455883,-10.58555220846598,0.7938938276790287,2.769775923926281e-5,0.32115217577496014,0.7938938276790287
XXV,meta,,-1.1816324893919232,-11.195781891861401,0.9223972742639073,2.1352424729152986e-5,0.13100167807424207,0.9223972742639073
Ungrouped.1,meta,,-1.234390044214652,-11.74955560934179,1.013261890860792,1.2294528906615686e-5,-0.27242152756535676,1.013261890860792
Ungrouped.3,meta,,-1.2637535494071968,-11.824918085658881,1.1725956079790507,8.195664198050957e-6,-0.5688068075447182,1.1725956079790507
Ungrouped.4,meta,,-0.9774711677080871,-12.213230192126362,0.9987139562021309,4.883045557725278e-6,-0.9472542258958224,0.9987139562021309
Ungrouped.5,meta,,-0.9774711677080871,-12.213230192126362,1.2106307698828145,4.415488541031507e-6,-1.0208121889532147,1.2106307698828145
Ungrouped.7,meta,,-1.0599220465867534,-11.743367247902983,0.8669663041846571,9.8109146806456e-6,-0.43733857791430164,0.8669663041846571
NCTC 418,meta,,-1.0599220465867534,-11.743367247902983,0.9309445155503603,2.5449074059635686e-5,0.25927167665277207,0.9309445155503603
LM1_2a,meta,,-0.9456868436293533,-10.615298038148575,0.796017006754756,4.088698262660796e-5,0.6057793072449711,0.796017006754756
LM1_2b,meta,,-0.9103685531039416,-10.431997525897172,0.7710558774577762,4.0061389896290724e-5,0.5908714240689664,0.7710558774577762
LM4b,meta,,-0.9838516949629965,-10.782335344416865,0.8858027016413158,3.593849422734242e-5,0.5115009134959883,0.8858027016413158
TS_Oscar2002,meta,,-1.0072596732991153,-11.222711059085961,0.7524228637786624,2.612353998201355e-5,0.2783881955956618,0.7524228637786624
EC_Daughtry1997,meta,,-0.8814134600373483,-10.333026912013674,1.3795656365655895,3.742882925955121e-5,0.5411959704632497,1.3795656365655895
EC_Ingraham1958,meta,,-1.1640120281349797,-10.716859260977929,1.329480511061568,2.1936244361223887e-5,0.15071564292142212,1.329480511061568
EC_Ratkowsky1991,meta,,-0.9082291653457283,-10.945142518348774,1.260888583463459,2.1141032636226156e-5,0.12373035507784218,1.260888583463459
CP_Beef,meta,,-1.1503937361949486,-11.138855727857488,0.9681250223829854,2.810895557684199e-5,0.3319221291470004,0.9681250223829854
CP_Chicken,meta,,-1.2660970838859038,-11.451541655587526,0.6139750020650132,6.260850698573931e-5,0.9171759616187283,0.6139750020650132
CP_Pork,meta,,-0.8464575746194997,-10.596524488237566,0.577850977004019,5.528913326652801e-5,0.826316348372315,0.577850977004019
ltk10_growth,meta,,-0.870088513102097,-12.350006942340459,0.6164598670727213,4.386234082715585e-6,-1.0256703193253158,0.6164598670727213
ak30_growth,meta,,-1.0229217737159675,-13.46067838162555,0.8024888725631624,2.377621834739217e-6,-1.4732056005367398,0.8024888725631624
Krist1998,meta,,-0.8412053979889811,-10.333954939699765,0.5939900889570102,5.1541908225189845e-5,0.7750262300118246,0.5939900889570102
LP_CNCM_I-4031,meta,,-1.2856457939402066,-9.518427092562245,0.7249514636984824,8.611605837644311e-5,1.1501590155149408,0.7249514636984824
Swarup_Tt_HB8,meta,,-0.601285076042523,-14.13887257300385,0.5824112838623453,8.325776368883033e-7,-2.2400815116247976,0.5824112838623453
Valik_2013_L_rhamnosus_GG,meta,,-0.7897678065798243,-10.805256959888753,0.6490135065648854,2.9613934679393947e-5,0.3700395950562202,0.6490135065648854
Van_Derlinden_E_coli,meta,,-1.1152032057809287,-10.547976904919542,0.8486651096301874,4.88666026001368e-5,0.7360725168422305,0.8486651096301874
Membre_Ecoli_Strain1,meta,,-1.055733820319816,-10.112883311788833,0.8330608855999659,7.081619168026925e-5,1.0072036978229963,0.8330608855999659
Membre_Ecoli_Strain2,meta,,-1.2869613037934235,-10.770388007166584,0.7800696783112389,5.736477583184171e-5,0.8532502107596615,0.7800696783112389
Membre_Ecoli_Strain4,meta,,-1.1882330470958182,-10.473144251461495,0.862486222672152,5.658604772501017e-5,0.8432612955666049,0.862486222672152
Membre_Ecoli_Strain6,meta,,-1.1803192240198122,-10.439190374003825,1.2271421196737873,4.4831221426750536e-5,0.6730831888022076,1.2271421196737873
Membre_Ecoli_Strain9,meta,,-1.1026377549042106,-10.16967605724906,0.8228468581084948,7.266124662139412e-5,1.0260008827158067,0.8228468581084948
Membre_Bcereus_Strain1,meta,,-1.0849253286748561,-10.13193056912246,0.7372521564732001,7.994111567816687e-5,1.095781574127149,0.7372521564732001
Membre_Bcereus_Strain2,meta,,-0.8167246153256817,-9.789842165996646,0.8925695538225126,7.734235816822875e-5,1.0716288915563439,0.8925695538225126
Membre_Bcereus_Strain3,meta,,-1.2096265251544382,-10.069851006905296,0.8746042664907211,7.015273479840199e-5,1.0003245332304223,0.8746042664907211
Membre_Bcereus_Strain6,meta,,-1.2105693071848045,-9.7190015773854,1.1744358908554902,7.02025929946899e-5,1.0008437525715161,1.1744358908554902
Membre_Lmonocytogenes_strain12or13,meta,,-0.9147682243810701,-10.102624214041489,0.7569594784302391,6.502331340532924e-5,0.9448338086861933,0.7569594784302391
Har_vallismortis,meta,,-0.35390046823590815,-10.102473705574656,0.3329870570079767,4.410713367930126e-5,0.6611829716971237,0.3329870570079767
Hbl_gomorrense,meta,,-0.34773326300380936,-10.005501221631176,0.38429082503951156,4.2532571567110704e-5,0.6346165027627533,0.38429082503951156
Hcc_morrhuae,meta,,-0.3290426912678903,-10.007937773455527,0.33920720100926693,4.433545592999096e-5,0.6649563550972725,0.33920720100926693
